datetime,ET_mmol/m2/s,FH2O_1_1_1
9/30/18 23:30,0.01,0.011732
10/1/18 0:00,-0.03,-0.025742
10/1/18 0:30,-0.18,-0.182317
10/1/18 1:00,0.13,0.126503
10/1/18 1:30,-0.02,-0.021998
10/1/18 2:00,-0.02,-0.022075
10/1/18 2:30,-0.08,-0.0846
10/1/18 3:00,0.02,0.018804
10/1/18 3:30,0.12,0.119468
10/1/18 4:00,-0.03,-0.03339
10/1/18 4:30,-0.33,-0.329309
10/1/18 5:00,-0.09,-0.094512
10/1/18 5:30,0.09,0.092723
10/1/18 6:00,0.18,0.182621
10/1/18 6:30,-0.02,-0.01613
10/1/18 7:00,0.07,0.073288
10/1/18 7:30,0.19,0.190029
10/1/18 8:00,0.36,0.36279
10/1/18 8:30,0.18,0.1826
10/1/18 9:00,0.33,0.331927
10/1/18 9:30,0.56,0.561214
10/1/18 10:00,0.29,0.290715
10/1/18 10:30,0.43,0.434501
10/1/18 11:00,0.16,0.162092
10/1/18 11:30,0.30,0.300642
10/1/18 12:00,1.47,1.468701
10/1/18 12:30,0.27,0.273107
10/1/18 13:00,0.21,0.208644
10/1/18 13:30,-0.42,-0.42338
10/1/18 14:00,-0.15,-0.146789
10/1/18 14:30,0.23,0.229094
10/1/18 15:00,0.33,0.333841
10/1/18 15:30,0.12,0.122682
10/1/18 16:00,0.13,0.127466
10/1/18 16:30,0.36,0.364999
10/1/18 17:00,-0.45,-0.446649
10/1/18 17:30,0.02,0.023258
10/1/18 18:00,0.03,0.025309
10/1/18 18:30,0.03,0.027087
10/1/18 19:00,0.11,0.105782
10/1/18 19:30,0.10,0.099926
10/1/18 20:00,0.02,0.023984
10/1/18 20:30,0.13,0.129135
10/1/18 21:00,0.05,0.051559
10/1/18 21:30,0.16,0.163447
10/1/18 22:00,-0.15,-0.146904
10/1/18 22:30,-0.04,-0.036848
10/1/18 23:00,0.04,0.043777
10/1/18 23:30,0.16,0.162774
10/2/18 0:00,0.18,0.175863
10/2/18 0:30,0.01,0.009511
10/2/18 1:00,0.07,0.071894
10/2/18 1:30,0.06,0.055608
10/2/18 2:00,-0.01,-0.010004
10/2/18 2:30,0.07,0.074901
10/2/18 3:00,0.18,0.180735
10/2/18 3:30,-0.04,-0.035081
10/2/18 4:00,0.06,0.060988
10/2/18 4:30,0.02,0.021755
10/2/18 5:00,-0.06,-0.055317
10/2/18 5:30,0.02,0.018272
